SCH_ID;PLM_ID;StandardCost;CurrencyCode;CurrencyDescription;ValidFrom;ValidTo;StandardCostSEK;RepurchasePrice;RepurchasePriceSEK
134771;2691512;1.620000;SEK;NULL;2021-07-12;2099-12-31;1.620000;NULL;NULL
1095359;2706736;2481.620000;SEK;NULL;2021-07-11;2099-12-31;2481.620000;NULL;NULL
1232224;2785975;329.800000;SEK;NULL;2020-07-08;2099-12-31;329.800000;NULL;NULL
508440;2818203;276.260000;SEK;NULL;2020-07-08;2099-12-31;276.260000;NULL;NULL
385399;2819475;238.240000;SEK;NULL;2021-07-11;2099-12-31;238.240000;NULL;NULL
1050439;2824559;673.360000;SEK;NULL;2020-07-08;2099-12-31;673.360000;NULL;NULL
463857;2832524;2948.000000;SEK;NULL;2021-03-17;2099-12-31;2948.000000;NULL;NULL
2089524;2843704;464.110000;SEK;NULL;2021-07-11;2099-12-31;464.110000;NULL;NULL
1795202;2852995;0.670000;SEK;NULL;2020-07-14;2099-12-31;0.670000;NULL;NULL
1997309;2885822;0.630000;SEK;NULL;2021-07-11;2099-12-31;0.630000;NULL;NULL
254458;2891860;1.420000;SEK;NULL;2021-01-28;2099-12-31;1.420000;NULL;NULL
250739;2927418;497.240000;SEK;NULL;2020-07-08;2099-12-31;497.240000;NULL;NULL
82852;3007533;0.000000;SEK;NULL;2020-07-08;2099-12-31;0.000000;NULL;NULL
1268504;3436073;2784.500000;SEK;NULL;2020-07-08;2099-12-31;2784.500000;NULL;NULL
2072394;3559523;229.430000;SEK;NULL;2020-07-31;2099-12-31;229.430000;NULL;NULL
1151090;3582582;2.940000;SEK;NULL;2021-07-11;2099-12-31;2.940000;NULL;NULL
351681;3582835;0.230000;SEK;NULL;2020-07-08;2099-12-31;0.230000;NULL;NULL
433314;3694554;82.420000;SEK;NULL;2021-07-11;2099-12-31;82.420000;NULL;NULL
1697514;3813610;441.260000;SEK;NULL;2021-07-11;2099-12-31;441.260000;NULL;NULL
1908217;3856241;0.720000;SEK;NULL;2021-09-27;2099-12-31;0.720000;NULL;NULL
1975923;3858615;673.360000;SEK;NULL;2020-07-08;2099-12-31;673.360000;NULL;NULL
1348769;3863617;2556.400000;SEK;NULL;2020-07-08;2099-12-31;2556.400000;NULL;NULL
1388315;3925001;0.970000;SEK;NULL;2020-07-08;2099-12-31;0.970000;NULL;NULL
419446;3942423;892.260000;SEK;NULL;2021-07-11;2099-12-31;892.260000;NULL;NULL
2012940;4000085;2478.460000;SEK;NULL;2020-07-08;2099-12-31;2478.460000;NULL;NULL
1776874;4046753;4.400000;SEK;NULL;2021-02-10;2099-12-31;4.400000;NULL;NULL
1294593;4119645;0.180000;SEK;NULL;2021-07-04;2099-12-31;0.180000;NULL;NULL
1911494;4176417;657.750000;SEK;NULL;2020-07-08;2099-12-31;657.750000;NULL;NULL
911883;4336052;1.560000;SEK;NULL;2020-07-08;2099-12-31;1.560000;NULL;NULL
1804609;4338282;3341.720000;SEK;NULL;2020-07-08;2099-12-31;3341.720000;NULL;NULL
2274778;4378452;210.810000;SEK;NULL;2020-11-24;2099-12-31;210.810000;NULL;NULL
107804795;4379788;3177.810000;SEK;NULL;2021-09-30;2099-12-31;3177.810000;NULL;NULL
2562765;4412988;142198.470000;KRW;NULL;2021-01-20;2099-12-31;1094.930000;NULL;NULL
2594385;4422928;611.910000;KRW;NULL;2021-06-21;2099-12-31;4.711707;NULL;NULL
2570187;4426841;1425.980000;KRW;NULL;2020-11-28;2099-12-31;10.980000;NULL;NULL
