SP_ID;SparePartID;Prefix;Number;DecisionFlag;Code;StructureCode;EnglishDescription;BaseUOM;FirstObjectNumber;ExchangeCode;SoftwareFlag;DangerousGoodsFlag;ResponsibilityYear;PentaProductGroup;VCECategoryCode;AftermarketFunctionGroup;PassiveFlag;SpecialFlag;CommercialCode;ProductGroup;ProductLine;VitalCode;GrossWeight;WeightUOM;Length;Width;Height;DimensionUOM
7970498;VO 11996;"VO ";11996;Y;R;NULL;GASKET;PCE;54-00029;NULL;N;N;2099;0;0;1512;N;N;NULL;43;200;4;92.99;G;121.92;35.56;24.13;MM
8002528;VO 1652948;"VO ";1652948;Y;R;NULL;SPRING CLIP;PCE;NULL;NULL;N;N;2035;0;0;4319;N;N;NULL;42;200;4;41.00;G;100.00;100.00;2.00;MM
8087960;VO 20734499;"VO ";20734499;Y;R;NULL;CABLE SEAL;PCE;W60-1011;NULL;N;N;2099;0;0;1619;N;N;NULL;43;200;4;6.00;G;70.00;60.00;25.00;MM
8120946;VO 20885497;"VO ";20885497;Y;R;NULL;RETAINER;PCE;54-00029;NULL;N;N;2099;0;0;1173;N;N;NULL;43;200;4;13.61;G;391.16;15.24;16.51;MM
8435985;VO 22327072;"VO ";22327072;Y;R;A;SOLENOID VALVE;PCE;P33-0236;X;N;N;0;0;0;4134;N;N;NULL;42;200;3;1856.00;G;220.00;218.00;74.00;MM
8528582;VO 22822219;"VO ";22822219;Y;R;A;CONTROL VALVE;PCE;Q3-12870;NULL;N;N;2099;0;0;6457;N;N;NULL;43;200;3;4695.00;G;223.00;190.00;165.00;MM
8529322;VO 22827991;"VO ";22827991;Y;R;NULL;SENSOR;PCE;Q-002286;X;N;N;0;0;0;2846;N;N;NULL;42;200;3;374.00;G;170.00;130.00;97.00;MM
8529324;VO 22827993;"VO ";22827993;Y;R;NULL;SENSOR;PCE;Q-002286;X;N;N;0;0;0;2846;N;N;NULL;42;200;3;378.00;G;168.00;128.00;98.00;MM
8539728;VO 22899626;"VO ";22899626;Y;R;NULL;PRESSURE SENSOR;PCE;Q-001826;NULL;N;N;2099;0;0;2846;N;N;NULL;42;200;3;54.43;G;50.80;19.05;19.05;MM
8573863;VO 23140886;"VO ";23140886;Y;R;NULL;CONTROL UNIT;PCE;Q-002759;NULL;N;N;2033;0;0;3651;N;N;NULL;43;200;4;0.00;G;0.00;0.00;0.00;MM
8573864;VO 23140887;"VO ";23140887;Y;R;NULL;CONTROL UNIT;PCE;Q-002759;NULL;N;N;2033;0;0;3651;N;N;NULL;43;200;4;0.00;G;0.00;0.00;0.00;MM
8604869;VO 23368891;"VO ";23368891;Y;R;A;HOSE;PCE;12-00458;NULL;N;N;2036;0;0;8748;N;N;NULL;43;200;4;0.00;G;0.00;0.00;0.00;MM
8617556;VO 23488939;"VO ";23488939;Y;R;K;PRESSURE SENSOR;PCE;Q-003058;NULL;N;N;2099;0;0;2373;N;N;NULL;42;200;3;58.00;G;75.00;70.00;70.00;MM
8622879;VO 23555981;"VO ";23555981;Y;R;NULL;ARM;PCE;Q-003313;X;N;N;2036;0;0;7621;N;N;NULL;43;200;4;1894.00;G;375.00;94.00;57.00;MM
8625522;VO 23590685;"VO ";23590685;Y;R;NULL;WINDSHIELD WIPER;PCE;Q-003220;NULL;N;N;2099;0;0;3631;N;N;NULL;43;200;3;0.00;G;0.00;0.00;0.00;MM
9876897;VO 23858694;"VO ";23858694;Y;R;A;ACCUMULATOR;PCE;51-02765;NULL;N;N;2030;0;0;8749;N;N;NULL;43;200;4;1147.00;G;155.00;145.00;465.00;MM
8931805;VO 60112018;"VO ";60112018;Y;R;NULL;LOCK NUT;PCE;54-92194;NULL;N;N;2099;0;0;1144;N;N;NULL;43;200;2;29.48;G;25.40;25.40;12.70;MM
8942465;VO 6763759;"VO ";6763759;Y;R;NULL;LABEL;PCE;NULL;NULL;N;N;2099;0;0;1982;N;N;PA;49;200;4;1.00;G;0.00;0.00;0.00;MM
8942552;VO 6763849;"VO ";6763849;Y;R;NULL;PLASTIC BAG;PCE;NULL;NULL;N;N;2099;0;0;1971;N;N;PA;49;200;4;4.00;G;0.00;0.00;0.00;MM
8974371;VO 72600497;"VO ";72600497;N;A;NULL;PLASTIC BAG;PCE;NULL;NULL;N;N;0;0;0;1985;N;N;PA;49;200;3;1.00;G;0.00;0.00;0.00;MM
8974448;VO 72800500;"VO ";72800500;N;A;NULL;LABEL;PCE;NULL;NULL;N;N;0;0;0;1982;N;N;PA;49;200;3;1.00;G;0.00;0.00;0.00;MM
8974498;VO 72801171;"VO ";72801171;N;A;NULL;LABEL;PCE;NULL;NULL;N;N;0;0;0;1982;N;N;PA;49;200;4;0.00;G;0.00;0.00;0.00;MM
8974502;VO 72801220;"VO ";72801220;N;A;NULL;LABEL;PCE;NULL;NULL;N;N;0;0;0;1967;N;N;PA;49;200;3;1.00;G;0.00;0.00;0.00;MM
8974518;VO 72801421;"VO ";72801421;N;A;NULL;LABEL;PCE;NULL;NULL;N;N;0;0;0;1982;N;N;PA;49;200;3;0.00;G;0.00;0.00;0.00;MM
8975259;VO 78540806;"VO ";78540806;Y;R;A;ACCUMULATOR;PCE;Q6-02363;NULL;N;N;2099;0;0;8747;N;N;NULL;43;200;3;1149.00;G;155.00;145.00;465.00;MM
9036558;VO 8260110;"VO ";8260110;N;X;NULL;LABEL;PCE;NULL;NULL;N;N;0;0;0;1982;N;N;PA;49;200;4;1.00;G;0.00;0.00;0.00;MM
9036564;VO 8260120;"VO ";8260120;Y;R;NULL;LABEL;PCE;NULL;NULL;N;N;2099;0;0;1982;N;N;PA;49;200;4;1.00;G;0.00;0.00;0.00;MM
9052055;VO 84223449;"VO ";84223449;Y;R;NULL;FAN MOTOR;PCE;Q6-01383;NULL;N;N;2034;0;0;8734;N;N;NULL;43;200;3;2478.00;G;390.00;320.00;285.00;MM
9068448;VO 85013511;"VO ";85013511;Y;R;A;TURBOCHARGER, EXCH;PCE;A05-5146;R;N;N;2099;0;0;2551;N;N;NULL;44;200;3;0.00;G;0.00;0.00;0.00;MM
9070605;VO 85020841;"VO ";85020841;Y;R;A;PUMP UNIT, EXCH;PCE;P28-3158;R;N;N;2099;0;0;2581;N;N;NULL;44;200;3;0.00;G;0.00;0.00;0.00;MM
9071965;VO 85022359;"VO ";85022359;Y;R;K;CLUTCH KIT, EXCH;PCE;Q3-21389;R;N;N;2099;0;0;4111;N;N;NULL;44;200;3;52616.71;G;533.40;635.00;279.40;MM
9072206;VO 85022632;"VO ";85022632;Y;R;NULL;POWER STEERING PUMP, EXCH;PCE;A01-0648;R;N;N;2099;0;0;6453;N;N;NULL;44;200;1;0.00;G;0.00;0.00;0.00;MM
9072711;VO 85023292;"VO ";85023292;Y;R;A;AIR DRYER, EXCH;PCE;Q-003280;R;N;N;2030;0;0;5618;N;N;NULL;44;200;3;0.00;G;0.00;0.00;0.00;MM
9871710;VO 85023466;"VO ";85023466;Y;R;A;AIR DRYER, EXCH;PCE;A02-0617;R;N;N;0;0;0;5618;N;N;NULL;44;200;3;0.00;G;0.00;0.00;0.00;MM
9136233;VO 9130476;"VO ";9130476;Y;R;NULL;SPLICE;PCE;NULL;NULL;N;N;2099;0;0;3719;N;N;NULL;43;200;4;1.00;G;0.00;0.00;0.00;MM
9138945;VO 948211;"VO ";948211;Y;R;NULL;CABLE TIE;PCE;W60-4042;NULL;N;N;2099;0;0;1162;N;N;NULL;43;200;4;178.00;G;316.00;145.00;40.00;MM
9142082;VO 9521762;"VO ";9521762;Y;R;NULL;RUBBER SPACER;PCE;P11-4736;NULL;N;N;2033;0;0;3719;N;N;NULL;53;800;4;24.95;G;49.53;24.13;10.16;MM
9146498;VO 969160;"VO ";969160;Y;R;NULL;FUSE;PCE;W60-2540;NULL;N;N;0;0;0;1634;N;N;NULL;43;200;3;11.00;G;100.00;100.00;0.05;MM
9148524;VO 980832;"VO ";980832;Y;R;NULL;TUBE;M;51-00150;NULL;N;N;2099;0;0;1413;N;N;NULL;43;200;4;333.00;G;600.00;450.00;64.00;MM
9152087;VO 990060;"VO ";990060;Y;R;NULL;TERMINAL;PCE;NULL;NULL;N;N;2099;0;0;1615;Y;N;NULL;43;200;4;10.00;G;20.00;2.00;2.00;MM
9556917;VOE946471;VOE;946471;Y;R;NULL;FLANGE SCREW;PCE;NULL;NULL;N;N;2031;0;7120;1122;N;N;NULL;73;99;4;18.14;G;19.05;20.32;24.13;MM
